Animal	gestation	l_years	l_days
Baboon	187	20	7300
Bear, black	219	18	6570
Bear, grizzly	225	25	9125
Bear, polar	240	20	7300
Beaver	105	5	1825
Buffalo	285	15	5475
Camel	406	12	4380
Cat	63	12	4380
Chimpanzee	230	20	7300
Chipmunk	31	6	2190
Cow	284	15	5475
Deer	201	8	2920
Dog	61	12	4380
Donkey	365	12	4380
Elephant	645	40	14600
Elk	250	15	5475
Fox	52	7	2555
Giraffe	457	10	3650
Goat	151	8	2920
Gorilla	258	20	7300
Guinea pig	68	4	1460
Hippopotamus	238	41	14965
Horse	330	20	7300
Kangaroo	36	7	2555
Leopard	98	12	4380
Lion	100	15	5475
Monkey	164	15	5475
Moose	240	12	4380
Mouse	21	3	1095
Opossum	13	1	365
Pig	112	10	3650
Puma	90	12	4380
Rabbit	31	5	1825
Rhinoceros	450	15	5475
Sea Lion	350	12	4380
Sheep	154	12	4380
Squirrel	44	10	3650
Tiger	105	16	5840
Wolf	63	5	1825
Zebra	365	15	5475
